,Date,Units_Sold,Revenue,Cost,Profit,Profit_Margin
0,01-01-22,38009,542554.91,375428.91,167126,0.308035
1,01-02-22,36935,541351.65,379490.65,161861,0.298994
2,01-03-22,39981,589485.19,415493.19,173992,0.295159
3,01-04-22,47102,681072.98,490973.98,190099,0.279117
4,01-05-22,46910,672369.9,485475.9,186894,0.277963
5,01-06-22,47178,661980.22,472165.22,189815,0.286738
6,01-07-22,46177,556034.23,379112.23,176922,0.318185
7,01-08-22,39927,489422.73,330491.73,158931,0.324732
8,01-09-22,42196,585844.04,419447.04,166397,0.28403
9,01-10-22,47861,623874.39,445075.39,178799,0.286595
10,01-11-22,51185,661304.15,468431.15,192873,0.291656
11,01-12-22,66031,877203.69,631125.69,246078,0.280525
12,01-01-23,56478,747196.22,542122.22,205074,0.274458
13,01-02-23,54581,722632.19,533318.19,189314,0.261978
14,01-03-23,69336,883515.64,651606.64,231909,0.262484
15,01-04-23,65593,827691.07,612595.07,215096,0.259875
16,01-05-23,63851,825319.49,614972.49,210347,0.254867
17,01-06-23,64275,808299.25,601087.25,207212,0.256356
18,01-07-23,63614,828348.86,618541.86,209807,0.253283
19,01-08-23,51193,660877.07,485839.07,175038,0.264857
20,01-09-23,52152,658194.48,477749.48,180445,0.274151
