,Product_ID,Product_Name,Product_Category,Units_Sold,Revenue,Cost,Profit,Profit_Margin
17,18,Lego Bricks,Toys,59737,2388882.63,2090197.63,298685,0.125031
5,6,Colorbuds,Electronics,104368,1564476.32,729532.32,834944,0.533689
18,19,Magic Sand,Art & Crafts,60598,968962.02,847766.02,121196,0.125078
0,1,Action Figure,Toys,57958,926748.42,579000.42,347748,0.375235
29,30,Rubik's Cube,Games,45672,912983.28,821639.28,91344,0.10005
7,8,Deck Of Cards,Games,84034,587397.66,335295.66,252102,0.429185
30,31,Splash Balls,Sports & Outdoors,60248,541629.52,481381.52,60248,0.111235
23,24,Nerf Gun,Sports & Outdoors,26543,530594.57,397879.57,132715,0.250125
1,2,Animal Figures,Toys,39089,507766.11,390499.11,117267,0.230947
6,7,Dart Gun,Sports & Outdoors,31588,505092.12,378740.12,126352,0.250156
